                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.441,                 4.4922,                 3.5269,                0.00658,                      1,                0.01579,                0.00482,                 1.9488,                 4.5928,                  4.587,              0.0011059,              0.0011059,              0.0011059
                     36,                 2.5799,                 4.8338,                  3.587,                0.00599,                      1,                0.01463,                0.00696,                 1.8946,                 4.6133,                 4.5534,              0.0010894,              0.0010894,              0.0010894
                     37,                 2.2865,                 4.7556,                 3.3796,                0.00599,                      1,                0.01463,                0.00696,                 1.8946,                 4.6133,                 4.5534,              0.0010729,              0.0010729,              0.0010729
                     38,                 2.4959,                 4.6796,                 3.4561,                0.00599,                      1,                0.01463,                0.00696,                 1.8946,                 4.6133,                 4.5534,              0.0010564,              0.0010564,              0.0010564
                     39,                  2.572,                 4.6335,                 3.6656,                0.00629,                      1,                0.01658,                0.00714,                 1.8867,                  4.771,                 4.5094,              0.0010399,              0.0010399,              0.0010399
                     40,                 2.3721,                 4.7331,                 3.5286,                0.00629,                      1,                0.01658,                0.00714,                 1.8867,                  4.771,                 4.5094,              0.0010234,              0.0010234,              0.0010234
                     41,                 2.5235,                 4.4153,                 3.4825,                0.00654,                      1,                  0.995,                0.20333,                 1.9688,                 4.7497,                 4.5732,              0.0010069,              0.0010069,              0.0010069
                     42,                 2.2701,                 4.7035,                 3.4664,                0.00654,                      1,                  0.995,                0.20333,                 1.9688,                 4.7497,                 4.5732,             0.00099036,             0.00099036,             0.00099036
                     43,                 2.7197,                 4.6248,                 3.6338,                0.00654,                      1,                  0.995,                0.20333,                 1.9688,                 4.7497,                 4.5732,             0.00097386,             0.00097386,             0.00097386
                     44,                 2.5637,                 4.3143,                 3.4269,                0.00741,                      1,                  0.995,                0.21281,                  2.151,                 4.3792,                 4.3571,             0.00095736,             0.00095736,             0.00095736
                     45,                 2.7288,                  4.766,                 3.4884,                0.00741,                      1,                  0.995,                0.21281,                  2.151,                 4.3792,                 4.3571,             0.00094085,             0.00094085,             0.00094085
                     46,                 2.6001,                 5.5952,                 3.4474,                0.00741,                      1,                  0.995,                0.21281,                  2.151,                 4.3792,                 4.3571,             0.00092435,             0.00092435,             0.00092435
                     47,                 2.3279,                 4.7641,                 3.3594,                0.00606,                      1,                 0.4975,                0.15721,                 2.2176,                 4.3329,                 4.1333,             0.00090785,             0.00090785,             0.00090785
                     48,                 2.4006,                 4.7044,                 3.3893,                0.00606,                      1,                 0.4975,                0.15721,                 2.2176,                 4.3329,                 4.1333,             0.00089134,             0.00089134,             0.00089134
                     49,                 2.5957,                 4.5604,                 3.3967,                0.00562,                      1,                  0.995,                0.26119,                 2.5293,                 4.1482,                 3.7026,             0.00087484,             0.00087484,             0.00087484
                     50,                  2.367,                 5.6941,                  3.455,                0.00562,                      1,                  0.995,                0.26119,                 2.5293,                 4.1482,                 3.7026,             0.00085834,             0.00085834,             0.00085834
                     51,                 2.8477,                 4.8652,                 3.5117,                0.00562,                      1,                  0.995,                0.26119,                 2.5293,                 4.1482,                 3.7026,             0.00084184,             0.00084184,             0.00084184
                     52,                 2.4215,                 4.4568,                 3.3988,                0.12878,                      1,                  0.995,                 0.4975,                 2.1762,                  4.445,                 3.0088,             0.00082533,             0.00082533,             0.00082533
                     53,                 2.4413,                 4.1592,                 3.2373,                0.12878,                      1,                  0.995,                 0.4975,                 2.1762,                  4.445,                 3.0088,             0.00080883,             0.00080883,             0.00080883
                     54,                 2.4192,                 4.3079,                 3.2919,                0.12878,                      1,                  0.995,                 0.4975,                 2.1762,                  4.445,                 3.0088,             0.00079233,             0.00079233,             0.00079233
                     55,                 2.1638,                 4.3473,                 3.2772,                0.23479,                      1,                  0.995,                  0.398,                 2.0247,                 4.9427,                 2.8662,             0.00077582,             0.00077582,             0.00077582
                     56,                 2.2831,                 3.9521,                  3.286,                0.23479,                      1,                  0.995,                  0.398,                 2.0247,                 4.9427,                 2.8662,             0.00075932,             0.00075932,             0.00075932
                     57,                 2.2048,                 4.1429,                 3.2322,                0.17307,                      1,                  0.995,                  0.398,                 2.0929,                 4.8721,                 2.9184,             0.00074282,             0.00074282,             0.00074282
                     58,                 2.5307,                 5.4653,                 3.3864,                0.17307,                      1,                  0.995,                  0.398,                 2.0929,                 4.8721,                 2.9184,             0.00072631,             0.00072631,             0.00072631
                     59,                 2.5767,                 4.6804,                 3.3463,                0.17307,                      1,                  0.995,                  0.398,                 2.0929,                 4.8721,                 2.9184,             0.00070981,             0.00070981,             0.00070981
                     60,                 2.5518,                 4.9556,                 3.3604,                0.14577,                      1,                  0.995,                  0.398,                 2.2384,                 4.6377,                 2.9764,             0.00069331,             0.00069331,             0.00069331
                     61,                 2.1926,                 4.0467,                 3.1391,                0.14577,                      1,                  0.995,                  0.398,                 2.2384,                 4.6377,                 2.9764,              0.0006768,              0.0006768,              0.0006768
                     62,                 2.1866,                 4.4862,                 3.1901,                0.14577,                      1,                  0.995,                  0.398,                 2.2384,                 4.6377,                 2.9764,              0.0006603,              0.0006603,              0.0006603
                     63,                 2.6256,                 4.4178,                 3.4943,                0.20734,                      1,                  0.995,                 0.2985,                 2.3174,                 4.5586,                 3.0052,              0.0006438,              0.0006438,              0.0006438
                     64,                 2.3429,                 4.2589,                 3.2608,                0.20734,                      1,                  0.995,                 0.2985,                 2.3174,                 4.5586,                 3.0052,             0.00062729,             0.00062729,             0.00062729
                     65,                 2.3361,                 4.5461,                 3.2031,                0.42841,                      1,                  0.995,                  0.398,                 2.2724,                 4.8129,                 2.9367,             0.00061079,             0.00061079,             0.00061079
                     66,                  2.543,                 4.3539,                 3.4012,                0.42841,                      1,                  0.995,                  0.398,                 2.2724,                 4.8129,                 2.9367,             0.00059429,             0.00059429,             0.00059429
                     67,                 2.0902,                 4.1125,                 3.0238,                0.42841,                      1,                  0.995,                  0.398,                 2.2724,                 4.8129,                 2.9367,             0.00057778,             0.00057778,             0.00057778
                     68,                 2.3841,                 4.5224,                 3.2917,                0.83482,                      1,                  0.995,                  0.398,                 2.1399,                 5.7495,                 2.8464,             0.00056128,             0.00056128,             0.00056128
                     69,                 2.5327,                 4.5313,                 3.3854,                0.83482,                      1,                  0.995,                  0.398,                 2.1399,                 5.7495,                 2.8464,             0.00054478,             0.00054478,             0.00054478
                     70,                 2.3952,                  4.184,                 3.3447,                0.83482,                      1,                  0.995,                  0.398,                 2.1399,                 5.7495,                 2.8464,             0.00052827,             0.00052827,             0.00052827
                     71,                 2.7546,                 4.9513,                 3.3628,                0.76951,                      1,                  0.995,                 0.4975,                 2.1336,                  6.192,                 2.8415,             0.00051177,             0.00051177,             0.00051177
                     72,                 2.4052,                 4.0884,                 3.2336,                0.76951,                      1,                  0.995,                 0.4975,                 2.1336,                  6.192,                 2.8415,             0.00049527,             0.00049527,             0.00049527
                     73,                 2.2257,                 3.9255,                  3.152,                0.73353,                      1,                  0.995,                  0.597,                 1.8005,                 4.5962,                 2.5892,             0.00047876,             0.00047876,             0.00047876
                     74,                 2.6697,                 4.7932,                 3.4329,                0.73353,                      1,                  0.995,                  0.597,                 1.8005,                 4.5962,                 2.5892,             0.00046226,             0.00046226,             0.00046226
                     75,                 2.1628,                  4.044,                 3.0393,                0.73353,                      1,                  0.995,                  0.597,                 1.8005,                 4.5962,                 2.5892,             0.00044576,             0.00044576,             0.00044576
                     76,                 2.3777,                 3.9428,                  3.244,                0.72249,                      1,                  0.995,                  0.597,                 1.7621,                 3.7295,                 2.5603,             0.00042925,             0.00042925,             0.00042925
