                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,0.84273,0.54531,1.1107,0.59401,0.70099,0.68015,0.5205,0.91582,0.72984,1.0402,0.0099564,0.0099564,0.0099564
46,0.83452,0.54907,1.1001,0.71071,0.67853,0.66579,0.53684,0.88255,0.8616,1.0308,0.0099555,0.0099555,0.0099555
47,0.82728,0.55082,1.102,0.56427,0.61497,0.65786,0.5497,0.76897,0.82073,0.97167,0.0099545,0.0099545,0.0099545
48,0.82071,0.54634,1.0964,0.54878,0.68385,0.6423,0.49831,0.91995,0.86107,1.0145,0.0099535,0.0099535,0.0099535
49,0.8065,0.52899,1.0921,0.59159,0.66659,0.67973,0.53042,0.90955,0.77338,1.0283,0.0099525,0.0099525,0.0099525
50,0.83792,0.55347,1.1052,0.67037,0.84887,0.80962,0.6672,0.84172,0.7341,0.98623,0.0099515,0.0099515,0.0099515
51,0.81724,0.54281,1.0956,0.69088,0.7006,0.79319,0.62558,0.8157,0.81453,1.0106,0.0099505,0.0099505,0.0099505
52,0.81255,0.52803,1.0911,0.84926,0.64096,0.87291,0.69384,0.89088,0.69627,1.0399,0.0099495,0.0099495,0.0099495
53,0.81731,0.53201,1.0901,0.64012,0.78154,0.72181,0.57945,0.81663,0.731,0.98204,0.0099485,0.0099485,0.0099485
54,0.80535,0.52412,1.0901,0.67999,0.85605,0.88924,0.70332,0.85715,0.66935,0.98451,0.0099475,0.0099475,0.0099475
55,0.79562,0.52139,1.0804,0.59822,0.74613,0.69837,0.57278,0.80207,0.73391,0.99108,0.0099465,0.0099465,0.0099465
56,0.80596,0.51675,1.0859,0.89619,0.60225,0.73636,0.58896,0.84882,0.75503,0.9956,0.0099456,0.0099456,0.0099456
57,0.80732,0.5194,1.0905,0.50721,0.67105,0.66111,0.54614,0.77385,0.75342,0.99022,0.0099446,0.0099446,0.0099446
58,0.79713,0.50527,1.0835,0.73186,0.76995,0.81027,0.68742,0.68354,0.67785,0.92002,0.0099436,0.0099436,0.0099436
59,0.78257,0.5034,1.0759,0.71982,0.88808,0.83726,0.69864,0.7787,0.72029,0.96613,0.0099426,0.0099426,0.0099426
60,0.78117,0.49963,1.0754,0.7345,0.80156,0.85277,0.73164,0.79526,0.69488,0.99324,0.0099416,0.0099416,0.0099416
61,0.80052,0.5206,1.0876,0.74639,0.8775,0.86655,0.73602,0.74529,0.7111,0.96119,0.0099406,0.0099406,0.0099406
62,0.77152,0.51349,1.0723,0.61635,0.77921,0.7549,0.57543,0.94972,0.68737,1.0128,0.0099396,0.0099396,0.0099396
63,0.78665,0.50732,1.076,0.76582,0.53861,0.61595,0.51112,0.73422,0.83795,0.97108,0.0099386,0.0099386,0.0099386
64,0.78322,0.504,1.0801,0.60571,0.64597,0.73678,0.60378,0.73153,0.80781,0.95915,0.0099376,0.0099376,0.0099376
65,0.78053,0.50765,1.079,0.71169,0.76717,0.765,0.62254,0.73452,0.71969,0.95578,0.0099366,0.0099366,0.0099366
66,0.76696,0.50169,1.0617,0.84731,0.71121,0.82733,0.69324,0.77437,0.62976,0.96855,0.0099357,0.0099357,0.0099357
67,0.77184,0.49809,1.0688,0.85605,0.62054,0.6541,0.50815,0.88226,0.79816,1.0112,0.0099347,0.0099347,0.0099347
68,0.77264,0.51404,1.071,0.58759,0.62778,0.72256,0.59828,0.73746,0.82219,0.96131,0.0099337,0.0099337,0.0099337
69,0.77337,0.49928,1.0717,0.71523,0.81578,0.83492,0.66254,0.84771,0.73122,0.99748,0.0099327,0.0099327,0.0099327
70,0.76581,0.49399,1.0648,0.64444,0.68311,0.68883,0.57052,0.72874,0.89997,0.97977,0.0099317,0.0099317,0.0099317
71,0.76229,0.49328,1.0639,0.67931,0.82037,0.8159,0.6647,0.76584,0.62581,1.0114,0.0099307,0.0099307,0.0099307
72,0.75551,0.4936,1.0626,0.72063,0.85679,0.85244,0.67977,0.85505,0.59368,0.98887,0.0099297,0.0099297,0.0099297
73,0.7596,0.48124,1.0617,0.6053,0.75407,0.73329,0.60646,0.76821,0.75725,1.0186,0.0099287,0.0099287,0.0099287
74,0.74978,0.48391,1.0602,0.6174,0.71041,0.68956,0.55834,0.75667,0.82411,0.96447,0.0099277,0.0099277,0.0099277
75,0.73477,0.47445,1.0479,0.54711,0.6276,0.71747,0.59325,0.73163,0.78415,0.95665,0.0099267,0.0099267,0.0099267
76,0.75104,0.48363,1.0598,0.75573,0.55731,0.62605,0.50579,0.84293,0.86037,1.0007,0.0099258,0.0099258,0.0099258
77,0.73556,0.49319,1.0549,0.72717,0.66184,0.70398,0.59424,0.75474,0.80246,0.97305,0.0099248,0.0099248,0.0099248
78,0.73895,0.47975,1.0546,0.70828,0.73229,0.74337,0.63898,0.68585,0.70063,0.93174,0.0099238,0.0099238,0.0099238
79,0.74687,0.47873,1.0586,0.70582,0.74196,0.76127,0.59742,0.84842,0.72042,1.0048,0.0099228,0.0099228,0.0099228
